X,X1,X2,X3,Q,Grate,Crate,Prate,DATE
P,C,C,G,0,0.407407407,0.185185185,0.407407407,2004/10/31
G,P,C,C,0,0.458333333,0.208333333,0.333333333,2004/11/7
G,G,P,C,0,0.380952381,0.238095238,0.380952381,2004/11/14
G,G,G,P,0,0.277777778,0.277777778,0.444444444,2004/11/21
G,G,G,G,0,0.133333333,0.333333333,0.533333333,2004/11/28
C,G,G,G,0,-0.083333333,0.416666667,0.666666667,2004/12/5
P,C,G,G,0,-0.111111111,0.222222222,0.888888889,2004/12/12
C,P,C,G,0,-0.166666667,0.333333333,0.833333333,2004/12/19
G,C,P,C,0,-0.333333333,-0.333333333,1.666666667,2004/12/26
C,G,C,P,1,0.333333333,0.333333333,0.333333333,2005/1/16
P,C,G,C,0,0.366666667,0.266666667,0.366666667,2005/1/23
P,P,C,G,0,0.407407407,0.296296296,0.296296296,2005/1/30
C,P,P,C,0,0.458333333,0.333333333,0.208333333,2005/2/6
P,C,P,P,0,0.523809524,0.238095238,0.238095238,2005/2/13
G,P,C,P,0,0.611111111,0.277777778,0.111111111,2005/2/20
G,G,P,C,0,0.533333333,0.333333333,0.133333333,2005/2/27
P,G,G,P,0,0.416666667,0.416666667,0.166666667,2005/3/6
C,P,G,G,0,0.555555556,0.555555556,-0.111111111,2005/3/13
P,C,P,G,0,0.833333333,0.333333333,-0.166666667,2005/3/20
C,P,C,P,0,1.666666667,0.666666667,-1.333333333,2005/3/27
C,C,P,C,1,0.333333333,0.333333333,0.333333333,2005/4/3
G,C,C,P,0,0.361111111,0.277777778,0.361111111,2005/4/10
P,G,C,C,0,0.303030303,0.303030303,0.393939394,2005/4/17
G,P,G,C,0,0.333333333,0.333333333,0.333333333,2005/4/24
C,G,P,G,0,0.259259259,0.37037037,0.37037037,2005/5/1
C,C,G,P,0,0.291666667,0.291666667,0.416666667,2005/5/8
G,C,C,G,0,0.333333333,0.19047619,0.476190476,2005/5/15
P,G,C,C,0,0.222222222,0.222222222,0.555555556,2005/5/22
P,P,G,C,0,0.266666667,0.266666667,0.466666667,2005/5/29
P,P,P,G,0,0.333333333,0.333333333,0.333333333,2005/6/5
G,P,P,P,0,0.444444444,0.444444444,0.111111111,2005/6/12
C,G,P,P,0,0.166666667,0.666666667,0.166666667,2005/6/19
G,C,G,P,0,0.333333333,0.333333333,0.333333333,2005/6/26
C,G,C,G,1,0.333333333,0.333333333,0.333333333,2005/7/3
G,C,G,C,0,0.363636364,0.272727273,0.363636364,2005/7/10
P,G,C,G,0,0.3,0.3,0.4,2005/7/17
C,P,G,C,0,0.333333333,0.333333333,0.333333333,2005/7/24
C,C,P,G,0,0.375,0.25,0.375,2005/7/31
P,C,C,P,0,0.428571429,0.142857143,0.428571429,2005/8/7
C,P,C,C,0,0.5,0.166666667,0.333333333,2005/8/14
C,C,P,C,0,0.6,0,0.4,2005/8/21
G,C,C,P,0,0.75,-0.25,0.5,2005/8/28
G,G,C,C,0,0.666666667,-0.333333333,0.666666667,2005/9/4
C,G,G,C,0,0.5,-0.5,1,2005/9/11
P,C,G,G,0,1,-2,2,2005/9/18
C,P,C,G,1,0.333333333,0.333333333,0.333333333,2005/10/2
G,C,P,C,0,0.361111111,0.277777778,0.361111111,2005/10/9
P,G,C,P,0,0.303030303,0.303030303,0.393939394,2005/10/16
C,P,G,C,0,0.333333333,0.333333333,0.333333333,2005/10/23
G,C,P,G,0,0.37037037,0.259259259,0.37037037,2005/10/30
P,G,C,P,0,0.291666667,0.291666667,0.416666667,2005/11/6
C,P,G,C,0,0.333333333,0.333333333,0.333333333,2005/11/13
P,C,P,G,0,0.388888889,0.222222222,0.388888889,2005/11/20
P,P,C,P,0,0.466666667,0.266666667,0.266666667,2005/11/27
G,P,P,C,0,0.583333333,0.333333333,0.083333333,2005/12/4
G,G,P,P,0,0.444444444,0.444444444,0.111111111,2005/12/11
C,G,G,P,0,0.166666667,0.666666667,0.166666667,2005/12/18
P,C,G,G,0,0.333333333,0.333333333,0.333333333,2005/12/25
C,P,C,G,1,0.333333333,0.333333333,0.333333333,2006/1/8
C,C,P,C,0,0.366666667,0.266666667,0.366666667,2006/1/15
G,C,C,P,0,0.407407407,0.185185185,0.407407407,2006/1/22
P,G,C,C,0,0.333333333,0.208333333,0.458333333,2006/1/29
C,P,G,C,0,0.380952381,0.238095238,0.380952381,2006/2/5
P,C,P,G,0,0.444444444,0.111111111,0.444444444,2006/2/19
G,P,C,P,0,0.533333333,0.133333333,0.333333333,2006/2/26
G,G,P,C,0,0.416666667,0.166666667,0.416666667,2006/3/5
G,G,G,P,0,0.222222222,0.222222222,0.555555556,2006/3/12
C,G,G,G,0,-0.166666667,0.333333333,0.833333333,2006/3/19
P,C,G,G,0,-0.333333333,-0.333333333,1.666666667,2006/3/26
C,P,C,G,1,0.333333333,0.333333333,0.333333333,2006/4/2
P,C,P,C,0,0.361111111,0.277777778,0.361111111,2006/4/9
G,P,C,P,0,0.393939394,0.303030303,0.303030303,2006/4/16
P,G,P,C,0,0.333333333,0.333333333,0.333333333,2006/4/23
C,P,G,P,0,0.37037037,0.37037037,0.259259259,2006/4/30
P,C,P,G,0,0.416666667,0.291666667,0.291666667,2006/5/7
P,P,C,P,0,0.476190476,0.333333333,0.19047619,2006/5/14
C,P,P,C,0,0.555555556,0.388888889,0.055555556,2006/5/21
G,C,P,P,0,0.666666667,0.266666667,0.066666667,2006/5/28
C,G,C,P,0,0.583333333,0.333333333,0.083333333,2006/6/4
P,C,G,C,0,0.777777778,0.111111111,0.111111111,2006/6/11
P,P,C,G,0,1.166666667,0.166666667,-0.333333333,2006/6/18
G,P,P,C,0,2.333333333,0.333333333,-1.666666667,2006/6/25
C,G,P,P,1,0.333333333,0.333333333,0.333333333,2006/7/2
G,C,G,P,0,0.361111111,0.277777778,0.361111111,2006/7/9
C,G,C,G,0,0.303030303,0.303030303,0.393939394,2006/7/16
P,C,G,C,0,0.333333333,0.233333333,0.433333333,2006/7/23
C,P,C,G,0,0.37037037,0.259259259,0.37037037,2006/7/30
C,C,P,C,0,0.416666667,0.166666667,0.416666667,2006/8/6
P,C,C,P,0,0.476190476,0.047619048,0.476190476,2006/8/13
G,P,C,C,0,0.555555556,0.055555556,0.388888889,2006/8/20
P,G,P,C,0,0.466666667,0.066666667,0.466666667,2006/8/27
C,P,G,P,0,0.583333333,0.083333333,0.333333333,2006/9/3
P,C,P,G,0,0.777777778,-0.222222222,0.444444444,2006/9/10
C,P,C,P,0,1.166666667,-0.333333333,0.166666667,2006/9/17
C,C,P,C,0,2.333333333,-1.666666667,0.333333333,2006/9/24
G,C,C,P,1,0.333333333,0.333333333,0.333333333,2006/10/1
P,G,C,C,0,0.277777778,0.361111111,0.361111111,2006/10/8
P,P,G,C,0,0.303030303,0.393939394,0.303030303,2006/10/15
G,P,P,G,0,0.333333333,0.433333333,0.233333333,2006/10/29
C,G,P,P,0,0.259259259,0.481481481,0.259259259,2006/11/5
G,C,G,P,0,0.291666667,0.416666667,0.291666667,2006/11/12
P,G,C,G,0,0.19047619,0.476190476,0.333333333,2006/11/19
G,P,G,C,0,0.222222222,0.555555556,0.222222222,2006/11/26
C,G,P,G,0,0.066666667,0.666666667,0.266666667,2006/12/3
G,C,G,P,0,0.083333333,0.583333333,0.333333333,2006/12/10
G,G,C,G,0,-0.222222222,0.777777778,0.444444444,2006/12/17
P,G,G,C,0,-0.833333333,1.166666667,0.666666667,2006/12/24
C,P,G,G,0,-1.666666667,2.333333333,0.333333333,2006/12/31
C,C,P,G,1,0.333333333,0.333333333,0.333333333,2007/1/7
P,C,C,P,0,0.363636364,0.272727273,0.363636364,2007/1/14
G,P,C,C,0,0.4,0.3,0.3,2007/1/21
G,G,P,C,0,0.333333333,0.333333333,0.333333333,2007/1/28
C,G,G,P,0,0.25,0.375,0.375,2007/2/4
G,C,G,G,0,0.285714286,0.285714286,0.428571429,2007/2/11
C,G,C,G,0,0.166666667,0.333333333,0.5,2007/2/18
P,C,G,C,0,0.2,0.2,0.6,2007/2/25
C,P,C,G,0,0.25,0.25,0.5,2007/3/4
C,C,P,C,0,0.333333333,0,0.666666667,2007/3/11
G,C,C,P,0,0.5,-0.5,1,2007/3/18
G,G,C,C,0,0,-1,2,2007/3/25
C,G,G,C,1,0.333333333,0.333333333,0.333333333,2007/4/1
G,C,G,G,0,0.361111111,0.277777778,0.361111111,2007/4/8
P,G,C,G,0,0.303030303,0.303030303,0.393939394,2007/4/15
P,P,G,C,0,0.333333333,0.333333333,0.333333333,2007/4/22
C,P,P,G,0,0.37037037,0.37037037,0.259259259,2007/4/29
G,C,P,P,0,0.416666667,0.291666667,0.291666667,2007/5/6
G,G,C,P,0,0.333333333,0.333333333,0.333333333,2007/5/13
P,G,G,C,0,0.222222222,0.388888889,0.388888889,2007/5/20
P,P,G,G,0,0.266666667,0.466666667,0.266666667,2007/5/27
G,P,P,G,0,0.333333333,0.583333333,0.083333333,2007/6/3
C,G,P,P,0,0.111111111,0.777777778,0.111111111,2007/6/10
C,C,G,P,0,0.166666667,0.666666667,0.166666667,2007/6/17
G,C,C,G,0,0.333333333,0.333333333,0.333333333,2007/6/24
P,G,C,C,1,0.333333333,0.333333333,0.333333333,2007/7/1
G,P,G,C,0,0.358974359,0.358974359,0.282051282,2007/7/8
G,G,P,G,0,0.305555556,0.388888889,0.305555556,2007/7/15
C,G,G,P,0,0.242424242,0.424242424,0.333333333,2007/7/22
C,C,G,G,0,0.266666667,0.366666667,0.366666667,2007/7/29
P,C,C,G,0,0.296296296,0.296296296,0.407407407,2007/8/5
P,P,C,C,0,0.333333333,0.333333333,0.333333333,2007/8/12
C,P,P,C,0,0.380952381,0.380952381,0.238095238,2007/8/19
G,C,P,P,0,0.444444444,0.277777778,0.277777778,2007/8/26
P,G,C,P,0,0.333333333,0.333333333,0.333333333,2007/9/2
G,P,G,C,0,0.416666667,0.416666667,0.166666667,2007/9/9
C,G,P,G,0,0.222222222,0.555555556,0.222222222,2007/9/16
P,C,G,P,0,0.333333333,0.333333333,0.333333333,2007/9/23
C,P,C,G,0,0.666666667,0.666666667,-0.333333333,2007/9/30
G,C,P,C,1,0.333333333,0.333333333,0.333333333,2007/10/7
G,G,C,P,0,0.272727273,0.363636364,0.363636364,2007/10/14
C,G,G,C,0,0.2,0.4,0.4,2007/10/21
P,C,G,G,0,0.222222222,0.333333333,0.444444444,2007/10/28
C,P,C,G,0,0.25,0.375,0.375,2007/11/4
P,C,P,C,0,0.285714286,0.285714286,0.428571429,2007/11/11
G,P,C,P,0,0.333333333,0.333333333,0.333333333,2007/11/18
P,G,P,C,0,0.2,0.4,0.4,2007/11/25
C,P,G,P,0,0.25,0.5,0.25,2007/12/2
C,C,P,G,0,0.333333333,0.333333333,0.333333333,2007/12/9
G,C,C,P,0,0.5,0,0.5,2007/12/16
G,G,C,C,0,0,0,1,2007/12/23
C,G,G,C,1,0.333333333,0.333333333,0.333333333,2008/1/6
P,C,G,G,0,0.361111111,0.277777778,0.361111111,2008/1/13
C,P,C,G,0,0.393939394,0.303030303,0.303030303,2008/1/20
G,C,P,C,0,0.433333333,0.233333333,0.333333333,2008/1/27
P,G,C,P,0,0.37037037,0.259259259,0.37037037,2008/2/3
C,P,G,C,0,0.416666667,0.291666667,0.291666667,2008/2/10
P,C,P,G,0,0.476190476,0.19047619,0.333333333,2008/2/17
C,P,C,P,0,0.555555556,0.222222222,0.222222222,2008/2/24
G,C,P,C,0,0.666666667,0.066666667,0.266666667,2008/3/2
P,G,C,P,0,0.583333333,0.083333333,0.333333333,2008/3/9
C,P,G,C,0,0.777777778,0.111111111,0.111111111,2008/3/16
P,C,P,G,0,1.166666667,-0.333333333,0.166666667,2008/3/23
G,P,C,P,0,2.333333333,-0.666666667,-0.666666667,2008/3/30
G,G,P,C,1,0.333333333,0.333333333,0.333333333,2008/4/6
P,G,G,P,0,0.277777778,0.361111111,0.361111111,2008/4/13
C,P,G,G,0,0.303030303,0.393939394,0.303030303,2008/4/20
C,C,P,G,0,0.333333333,0.333333333,0.333333333,2008/4/27
G,C,C,P,0,0.37037037,0.259259259,0.37037037,2008/5/4
P,G,C,C,0,0.291666667,0.291666667,0.416666667,2008/5/11
C,P,G,C,0,0.333333333,0.333333333,0.333333333,2008/5/18
P,C,P,G,0,0.388888889,0.222222222,0.388888889,2008/5/25
C,P,C,P,0,0.466666667,0.266666667,0.266666667,2008/6/1
G,C,P,C,0,0.583333333,0.083333333,0.333333333,2008/6/8
C,G,C,P,0,0.444444444,0.111111111,0.444444444,2008/6/15
G,C,G,C,0,0.666666667,-0.333333333,0.666666667,2008/6/22
P,G,C,G,0,0.333333333,-0.666666667,1.333333333,2008/6/29
C,P,G,C,1,0.333333333,0.333333333,0.333333333,2008/7/6
G,C,P,G,0,0.363636364,0.272727273,0.363636364,2008/7/13
C,G,C,P,0,0.3,0.3,0.4,2008/7/20
P,C,G,C,0,0.333333333,0.222222222,0.444444444,2008/7/27
C,P,C,G,0,0.375,0.25,0.375,2008/8/3
G,C,P,C,0,0.428571429,0.142857143,0.428571429,2008/8/17
P,G,C,P,0,0.333333333,0.166666667,0.5,2008/8/24
C,P,G,C,0,0.4,0.2,0.4,2008/8/31
G,C,P,G,0,0.5,0,0.5,2008/9/7
C,G,C,P,0,0.333333333,0,0.666666667,2008/9/14
P,C,G,C,0,0.5,-0.5,1,2008/9/21
G,P,C,G,0,1,-1,1,2008/9/28
C,G,P,C,1,0.333333333,0.333333333,0.333333333,2008/10/5
G,C,G,P,0,0.361111111,0.277777778,0.361111111,2008/10/12
P,G,C,G,0,0.303030303,0.303030303,0.393939394,2008/10/19
P,P,G,C,0,0.333333333,0.333333333,0.333333333,2008/10/26
C,P,P,G,0,0.37037037,0.37037037,0.259259259,2008/11/2
C,C,P,P,0,0.416666667,0.291666667,0.291666667,2008/11/9
C,C,C,P,0,0.476190476,0.19047619,0.333333333,2008/11/16
P,C,C,C,0,0.555555556,0.055555556,0.388888889,2008/11/23
C,P,C,C,0,0.666666667,0.066666667,0.266666667,2008/11/30
G,C,P,C,0,0.833333333,-0.166666667,0.333333333,2008/12/7
C,G,C,P,0,0.777777778,-0.222222222,0.444444444,2008/12/14
P,C,G,C,0,1.166666667,-0.833333333,0.666666667,2008/12/21
G,P,C,G,0,2.333333333,-1.666666667,0.333333333,2008/12/28
C,G,P,C,1,0.333333333,0.333333333,0.333333333,2009/1/4
C,C,G,P,0,0.363636364,0.272727273,0.363636364,2009/1/11
P,C,C,G,0,0.4,0.2,0.4,2009/1/18
P,P,C,C,0,0.444444444,0.222222222,0.333333333,2009/1/25
G,P,P,C,0,0.5,0.25,0.25,2009/2/1
C,G,P,P,0,0.428571429,0.285714286,0.285714286,2009/2/8
G,C,G,P,0,0.5,0.166666667,0.333333333,2009/2/15
C,G,C,G,0,0.4,0.2,0.4,2009/2/22
P,C,G,C,0,0.5,0,0.5,2009/3/1
P,P,C,G,0,0.666666667,0,0.333333333,2009/3/8
G,P,P,C,0,1,0,0,2009/3/15
G,G,P,P,0,1,0,0,2009/3/29
C,G,G,P,1,0.333333333,0.333333333,0.333333333,2009/4/5
P,C,G,G,0,0.361111111,0.277777778,0.361111111,2009/4/12
G,P,C,G,0,0.393939394,0.303030303,0.303030303,2009/4/19
P,G,P,C,0,0.333333333,0.333333333,0.333333333,2009/4/26
P,P,G,P,0,0.37037037,0.37037037,0.259259259,2009/5/3
C,P,P,G,0,0.416666667,0.416666667,0.166666667,2009/5/10
G,C,P,P,0,0.476190476,0.333333333,0.19047619,2009/5/17
C,G,C,P,0,0.388888889,0.388888889,0.222222222,2009/5/24
P,C,G,C,0,0.466666667,0.266666667,0.266666667,2009/5/31
G,P,C,G,0,0.583333333,0.333333333,0.083333333,2009/6/7
G,G,P,C,0,0.444444444,0.444444444,0.111111111,2009/6/14
C,G,G,P,0,0.166666667,0.666666667,0.166666667,2009/6/21
P,C,G,G,0,0.333333333,0.333333333,0.333333333,2009/6/28
C,P,C,G,1,0.333333333,0.333333333,0.333333333,2009/7/5
P,C,P,C,0,0.361111111,0.277777778,0.361111111,2009/7/12
G,P,C,P,0,0.393939394,0.303030303,0.303030303,2009/7/19
C,G,P,C,0,0.333333333,0.333333333,0.333333333,2009/7/26
P,C,G,P,0,0.37037037,0.259259259,0.37037037,2009/8/2
G,P,C,G,0,0.416666667,0.291666667,0.291666667,2009/8/9
P,G,P,C,0,0.333333333,0.333333333,0.333333333,2009/8/16
P,P,G,P,0,0.388888889,0.388888889,0.222222222,2009/8/23
C,P,P,G,0,0.466666667,0.466666667,0.066666667,2009/8/30
G,C,P,P,0,0.583333333,0.333333333,0.083333333,2009/9/6
C,G,C,P,0,0.444444444,0.444444444,0.111111111,2009/9/13
P,C,G,C,0,0.666666667,0.166666667,0.166666667,2009/9/20
G,P,C,G,0,1.333333333,0.333333333,-0.666666667,2009/9/27
C,G,P,C,1,0.333333333,0.333333333,0.333333333,2009/10/4
C,C,G,P,0,0.366666667,0.266666667,0.366666667,2009/10/11
P,C,C,G,0,0.407407407,0.185185185,0.407407407,2009/10/18
G,P,C,C,0,0.458333333,0.208333333,0.333333333,2009/10/25
C,G,P,C,0,0.380952381,0.238095238,0.380952381,2009/11/8
P,C,G,P,0,0.444444444,0.111111111,0.444444444,2009/11/22
P,P,C,G,0,0.533333333,0.133333333,0.333333333,2009/11/29
G,P,P,C,0,0.666666667,0.166666667,0.166666667,2009/12/6
G,G,P,P,0,0.555555556,0.222222222,0.222222222,2009/12/13
C,G,G,P,0,0.333333333,0.333333333,0.333333333,2009/12/20
P,C,G,G,0,0.666666667,-0.333333333,0.666666667,2009/12/27
C,P,C,G,1,0.333333333,0.333333333,0.333333333,2010/1/10
G,C,P,C,0,0.366666667,0.266666667,0.366666667,2010/1/17
P,G,C,P,0,0.296296296,0.296296296,0.407407407,2010/1/24
C,P,G,C,0,0.333333333,0.333333333,0.333333333,2010/2/7
G,C,P,G,0,0.380952381,0.238095238,0.380952381,2010/2/14
P,G,C,P,0,0.277777778,0.277777778,0.444444444,2010/2/21
P,P,G,C,0,0.333333333,0.333333333,0.333333333,2010/2/28
G,P,P,G,0,0.416666667,0.416666667,0.166666667,2010/3/7
C,G,P,P,0,0.222222222,0.555555556,0.222222222,2010/3/14
C,C,G,P,0,0.333333333,0.333333333,0.333333333,2010/3/21
P,C,C,G,0,0.666666667,-0.333333333,0.666666667,2010/3/28
G,P,C,C,1,0.333333333,0.333333333,0.333333333,2010/4/4
G,G,P,C,0,0.277777778,0.361111111,0.361111111,2010/4/11
C,G,G,P,0,0.212121212,0.393939394,0.393939394,2010/4/18
P,C,G,G,0,0.233333333,0.333333333,0.433333333,2010/4/25
C,P,C,G,0,0.259259259,0.37037037,0.37037037,2010/5/2
P,C,P,C,0,0.291666667,0.291666667,0.416666667,2010/5/9
G,P,C,P,0,0.333333333,0.333333333,0.333333333,2010/5/16
P,G,P,C,0,0.222222222,0.388888889,0.388888889,2010/5/23
G,P,G,P,0,0.266666667,0.466666667,0.266666667,2010/5/30
C,G,P,G,0,0.083333333,0.583333333,0.333333333,2010/6/6
G,C,G,P,0,0.111111111,0.444444444,0.444444444,2010/6/13
C,G,C,G,0,-0.333333333,0.666666667,0.666666667,2010/6/20
P,C,G,C,0,-0.666666667,0.333333333,1.333333333,2010/6/27
C,P,C,G,1,0.333333333,0.333333333,0.333333333,2010/7/4
G,C,P,C,0,0.366666667,0.266666667,0.366666667,2010/7/11
P,G,C,P,0,0.296296296,0.296296296,0.407407407,2010/7/18
C,P,G,C,0,0.333333333,0.333333333,0.333333333,2010/7/25
P,C,P,G,0,0.380952381,0.238095238,0.380952381,2010/8/1
G,P,C,P,0,0.444444444,0.277777778,0.277777778,2010/8/15
P,G,P,C,0,0.333333333,0.333333333,0.333333333,2010/8/22
C,P,G,P,0,0.416666667,0.416666667,0.166666667,2010/8/29
G,C,P,G,0,0.555555556,0.222222222,0.222222222,2010/9/12
G,G,C,P,0,0.333333333,0.333333333,0.333333333,2010/9/19
P,G,G,C,0,-0.333333333,0.666666667,0.666666667,2010/9/26
C,P,G,G,1,0.333333333,0.333333333,0.333333333,2010/10/3
P,C,P,G,0,0.363636364,0.272727273,0.363636364,2010/10/10
P,P,C,P,0,0.4,0.3,0.3,2010/10/17
G,P,P,C,0,0.444444444,0.333333333,0.222222222,2010/10/24
C,G,P,P,0,0.375,0.375,0.25,2010/10/31
C,C,G,P,0,0.428571429,0.285714286,0.285714286,2010/11/14
P,C,C,G,0,0.5,0.166666667,0.333333333,2010/11/21
G,P,C,C,0,0.6,0.2,0.2,2010/11/28
G,G,P,C,0,0.5,0.25,0.25,2010/12/5
C,G,G,P,0,0.333333333,0.333333333,0.333333333,2010/12/12
P,C,G,G,0,0.5,0,0.5,2010/12/19
P,P,C,G,0,1,0,0,2010/12/26
G,P,P,C,1,0.333333333,0.333333333,0.333333333,2011/1/9
P,G,P,P,0,0.266666667,0.366666667,0.366666667,2011/1/16
P,P,G,P,0,0.296296296,0.407407407,0.296296296,2011/1/23
G,P,P,G,0,0.333333333,0.458333333,0.208333333,2011/1/30
C,G,P,P,0,0.238095238,0.523809524,0.238095238,2011/2/6
G,C,G,P,0,0.277777778,0.444444444,0.277777778,2011/2/13
P,G,C,G,0,0.133333333,0.533333333,0.333333333,2011/2/20
C,P,G,C,0,0.166666667,0.666666667,0.166666667,2011/2/27
G,C,P,G,0,0.222222222,0.555555556,0.222222222,2011/3/6
P,G,C,P,0,-0.166666667,0.833333333,0.333333333,2011/3/20
G,P,G,C,0,-0.333333333,1.666666667,-0.333333333,2011/3/27
C,G,P,G,1,0.333333333,0.333333333,0.333333333,2011/4/3
C,C,G,P,0,0.361111111,0.277777778,0.361111111,2011/4/10
P,C,C,G,0,0.393939394,0.212121212,0.393939394,2011/4/17
G,P,C,C,0,0.433333333,0.233333333,0.333333333,2011/4/24
C,G,P,C,0,0.37037037,0.259259259,0.37037037,2011/5/1
P,C,G,P,0,0.416666667,0.166666667,0.416666667,2011/5/8
P,P,C,G,0,0.476190476,0.19047619,0.333333333,2011/5/15
